price,area,bedrooms,bathrooms,stories,total_building_area,mainroad_no,mainroad_yes,guestroom_no,guestroom_yes,basement_no,basement_yes,hotwaterheating_no,hotwaterheating_yes,airconditioning_no,airconditioning_yes,prefarea_no,prefarea_yes,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
8043000,7482,3,2,3,22446,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0
7875000,6550,3,1,2,13100,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
7560000,6000,3,2,3,18000,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
7455000,4300,3,2,2,8600,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
7420000,7440,3,2,1,7440,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
7350000,6000,3,2,2,12000,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
7350000,6000,3,1,2,12000,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
7140000,6000,3,2,2,12000,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
7070000,8880,2,1,1,8880,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
7070000,6240,4,2,2,12480,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
7035000,6360,4,2,3,19080,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0
6930000,8880,3,2,2,17760,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
6895000,7700,3,2,1,7700,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
6860000,6000,3,1,1,6000,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
6790000,4000,3,2,2,8000,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
6650000,4040,3,1,2,8080,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0
6650000,4260,4,2,2,8520,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
6650000,6420,3,2,3,19260,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0
6650000,6500,3,2,3,19500,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0
6650000,5700,3,1,1,5700,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
6650000,6000,3,2,3,18000,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
6629000,6000,3,1,2,12000,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
6615000,4000,3,2,2,8000,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
6510000,3760,3,1,2,7520,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
6510000,8250,3,2,3,24750,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
6510000,6670,3,1,3,20010,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
6475000,3960,3,1,1,3960,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
6475000,7410,3,1,1,7410,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
6440000,5000,3,1,2,10000,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
6419000,6750,2,1,1,6750,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
6300000,4100,3,2,3,12300,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
6300000,9000,3,1,1,9000,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
6300000,6400,3,1,1,6400,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
6293000,6600,3,2,3,19800,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
6265000,6000,4,1,3,18000,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
6230000,6600,3,2,1,6600,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
6230000,5500,3,1,3,16500,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
6195000,6350,3,2,3,19050,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
6195000,5500,3,2,1,5500,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
6160000,5450,4,2,1,5450,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
6125000,6420,3,1,3,19260,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
6107500,3240,4,1,3,9720,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
6090000,6615,4,2,2,13230,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
6090000,6600,3,1,1,6600,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
6090000,8372,3,1,3,25116,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
6083000,9620,3,1,1,9620,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
6020000,6800,2,1,1,6800,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
6020000,8000,3,1,1,8000,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
6020000,6900,3,2,1,6900,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
5950000,3700,4,1,2,7400,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
5950000,6420,3,1,1,6420,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
5950000,7020,3,1,1,7020,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
5950000,6540,3,1,1,6540,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
5950000,7231,3,1,2,14462,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
5950000,6254,4,2,1,6254,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
5950000,7320,4,2,2,14640,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
5880000,7160,3,1,1,7160,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
5880000,6500,3,2,3,19500,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
5873000,5500,3,1,3,16500,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
5866000,4800,3,1,1,4800,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
5810000,5200,3,1,3,15600,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
5810000,4800,3,1,3,14400,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
5803000,7000,3,1,1,7000,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
5740000,5400,4,2,2,10800,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
5740000,4640,4,1,2,9280,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5740000,5000,3,1,3,15000,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
5740000,6360,3,1,1,6360,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
5652500,6660,4,2,2,13320,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
5600000,4700,4,1,2,9400,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
5600000,5500,3,2,2,11000,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5600000,6360,3,1,3,19080,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
5600000,6600,4,2,1,6600,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
5600000,5136,3,1,2,10272,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
5565000,4400,4,1,2,8800,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
5530000,3300,3,3,2,6600,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
5530000,3650,3,2,2,7300,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5530000,6100,3,2,1,6100,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
5523000,6900,3,1,1,6900,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
5495000,2817,4,2,2,5634,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
5495000,7980,3,1,1,7980,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5460000,3150,3,2,1,3150,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
5460000,6100,3,1,3,18300,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
5460000,6600,4,2,2,13200,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
5425000,6825,3,1,1,6825,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
5390000,6710,3,2,2,13420,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
